Date,Country,Region,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-03-29,CI,Total,-35.0,-21.0,-21.0,-33.0,-9.0,14.0
2020-03-29,BW,Total,-12.0,-2.0,7.0,-20.0,-3.0,13.0
2020-03-29,ZA,Total,-79.0,-60.0,-55.0,-80.0,-49.0,24.0
2020-03-29,LI,Total,-90.0,-22.0,,,,
2020-03-29,BZ,Total,-63.0,-49.0,-38.0,-68.0,-42.0,13.0
2020-03-29,DK,Total,-37.0,-22.0,35.0,-60.0,-28.0,9.0
2020-03-29,DK,Capital Region of Denmark,-48.0,-24.0,13.0,-67.0,-33.0,10.0
2020-03-29,DK,Central Denmark Region,-34.0,-23.0,71.0,-55.0,-26.0,9.0
2020-03-29,DK,North Denmark Region,-34.0,-16.0,32.0,-54.0,-26.0,8.0
2020-03-29,DK,Region Zealand,-28.0,-17.0,54.0,-55.0,-25.0,8.0
2020-03-29,DK,Region of Southern Denmark,-30.0,-22.0,23.0,-59.0,-28.0,9.0
2020-03-29,IT,Total,-94.0,-85.0,-90.0,-87.0,-63.0,24.0
2020-03-29,IT,Abruzzo,-94.0,-84.0,-89.0,-90.0,-63.0,24.0
2020-03-29,IT,Aosta,-95.0,-88.0,-91.0,-86.0,-67.0,36.0
2020-03-29,IT,Apulia,-94.0,-85.0,-88.0,-88.0,-64.0,25.0
2020-03-29,IT,Basilicata,-91.0,-84.0,-77.0,-86.0,-58.0,22.0
2020-03-29,IT,Calabria,-94.0,-92.0,-85.0,-90.0,-63.0,22.0
2020-03-29,IT,Campania,-94.0,-78.0,-91.0,-89.0,-67.0,23.0
2020-03-29,IT,Emilia-Romagna,-96.0,-94.0,-88.0,-88.0,-65.0,24.0
2020-03-29,IT,Friuli-Venezia Giulia,-95.0,-94.0,-90.0,-83.0,-59.0,24.0
2020-03-29,IT,Lazio,-94.0,-76.0,-90.0,-88.0,-62.0,24.0
2020-03-29,IT,Liguria,-94.0,-80.0,-91.0,-85.0,-60.0,23.0
2020-03-29,IT,Lombardy,-95.0,-81.0,-91.0,-89.0,-65.0,24.0
2020-03-29,IT,Marche,-95.0,-88.0,-91.0,-86.0,-64.0,26.0
2020-03-29,IT,Molise,-91.0,-82.0,-84.0,-80.0,-60.0,29.0
2020-03-29,IT,Piedmont,-94.0,-82.0,-89.0,-85.0,-59.0,23.0
2020-03-29,IT,Sardinia,-94.0,-92.0,-87.0,-81.0,-56.0,22.0
2020-03-29,IT,Sicily,-95.0,-93.0,-91.0,-89.0,-68.0,25.0
2020-03-29,IT,Trentino-South Tyrol,-96.0,-94.0,-93.0,-86.0,-65.0,25.0
2020-03-29,IT,Tuscany,-94.0,-84.0,-91.0,-85.0,-62.0,25.0
2020-03-29,IT,Umbria,-95.0,-89.0,-86.0,-81.0,-61.0,25.0
2020-03-29,IT,Veneto,-96.0,-95.0,-91.0,-89.0,-62.0,25.0
2020-03-29,TR,Total,-75.0,-39.0,-58.0,-71.0,-45.0,17.0
2020-03-29,MZ,Total,-26.0,-13.0,-22.0,-29.0,1.0,10.0
2020-03-29,BS,Total,-67.0,-34.0,-48.0,-87.0,-52.0,19.0
2020-03-29,BY,Total,-14.0,5.0,41.0,-7.0,3.0,-2.0
2020-03-29,CM,Total,-26.0,-20.0,-19.0,-23.0,-3.0,9.0
2020-03-29,VN,Total,-52.0,-29.0,-33.0,-49.0,-20.0,16.0
2020-03-29,KH,Total,-43.0,-29.0,-31.0,-57.0,-15.0,12.0
